coc_number,population
CA-500,1956598.0
CA-501,883963.0
CA-502,1660202.0
CA-503,1529501.0
CA-504,503332.0
CA-505,1149363.0
CA-506,500369.0
CA-507,263886.0
CA-508,276864.0
CA-509,89299.0
CA-510,555624.0
CA-511,758744.0
CA-512,774155.0
CA-513,627496.0
CA-514,158894.0
CA-515,389532.0
CA-516,313607.0
CA-517,141294.0
CA-518,439793.0
CA-519,227621.0
CA-520,279977.0
CA-521,221270.0
CA-522,136002.0
CA-523,64529.0
CA-524,97238.0
CA-525,188399.0
CA-526,156120.0
CA-527,64039.0
CA-529,65081.0
CA-530,33553.0
CA-600,10283729.0
CA-601,3337456.0
CA-602,3284468.0
CA-603,453457.0
CA-604,905801.0
CA-606,0.0
CA-607,0.0
CA-608,2415955.0
CA-609,2174938.0
CA-611,859073.0
CA-612,0.0
CA-613,190624.0
CA-614,280101.0
