,COC Number,County,Year,Population
0,CA-500,Santa Clara,2018.0,1956598.0
1,CA-501,San Francisco,2018.0,883963.0
2,CA-502,Alameda,2018.0,1660202.0
3,CA-503,Sacramento,2018.0,1529501.0
4,CA-504,Sonoma,2018.0,503332.0
5,CA-505,Contra Costa,2018.0,1149363.0
6,CA-506,Monterey,2018.0,443281.0
7,CA-506,San Benito,2018.0,57088.0
8,CA-507,Marin,2018.0,263886.0
9,CA-508,Santa Cruz,2018.0,276864.0
10,CA-509,Mendocino,2018.0,89299.0
11,CA-510,Stanislaus,2018.0,555624.0
12,CA-511,San Joaquin,2018.0,758744.0
13,CA-512,San Mateo,2018.0,774155.0
14,CA-513,Kings,2018.0,151662.0
15,CA-513,Tulare,2018.0,475834.0
16,CA-514,Madera,2018.0,158894.0
17,CA-515,Placer,2018.0,389532.0
18,CA-516,Shasta,2018.0,178271.0
19,CA-516,Siskiyou,2018.0,44612.0
20,CA-516,Lassen,2018.0,30911.0
21,CA-516,Plumas,2018.0,19773.0
22,CA-516,Del Norte,2018.0,27221.0
23,CA-516,Modoc,2018.0,9612.0
24,CA-516,Sierra,2018.0,3207.0
25,CA-517,Napa,2018.0,141294.0
26,CA-518,Solano,2018.0,439793.0
27,CA-519,Butte,2018.0,227621.0
28,CA-520,Merced,2018.0,279977.0
29,CA-521,Yolo,2018.0,221270.0
30,CA-522,Humboldt,2018.0,136002.0
31,CA-523,Colusa,2018.0,22098.0
32,CA-523,Glenn,2018.0,28796.0
33,CA-523,Trinity,2018.0,13635.0
34,CA-524,Sutter,2018.0,97238.0
35,CA-525,El Dorado,2018.0,188399.0
36,CA-526,Amador,2018.0,38094.0
37,CA-526,Calaveras,2018.0,45157.0
38,CA-526,Mariposa,2018.0,18129.0
39,CA-526,Tuolumne,2018.0,54740.0
40,CA-527,Tehama,2018.0,64039.0
41,CA-529,Lake,2018.0,65081.0
42,CA-530,Alpine,2018.0,1154.0
43,CA-530,Inyo,2018.0,18577.0
44,CA-530,Mono,2018.0,13822.0
45,CA-600,Los Angeles,2018.0,10283729.0
46,CA-601,San Diego,2018.0,3337456.0
47,CA-602,Orange,2018.0,3284468.0
48,CA-603,Santa Barbara,2018.0,453457.0
49,CA-604,Kern,2018.0,905801.0
50,CA-606,Long Beach,,
51,CA-607,Pasadena,,
52,CA-608,Riverside,2018.0,2415955.0
53,CA-609,San Bernardino,2018.0,2174938.0
54,CA-611,Ventura,2018.0,859073.0
55,CA-612,Glendale,,
56,CA-613,Imperial,2018.0,190624.0
57,CA-614,San Luis Obispo,2018.0,280101.0
